15.0,49.0,15.0,0,6.0,124.0,6.0,46.5,256.5,46.5,0,1,35.0,157.0,35.0,1
1.5,65.5,1.5,0,11.0,141.0,11.0,13.0,290.0,13.0,0,1,25.0,147.0,25.0,1
6.5,65.5,6.5,0,13.0,141.0,15.0,14.0,290.0,18.0,0,1,26.0,147.0,28.0,1
3.5,65.5,6.5,0,13.0,141.0,14.0,14.0,290.0,17.0,0,1,29.0,147.0,30.0,1
7.5,56.5,7.5,0,2.0,132.0,2.0,16.0,287.0,16.0,0,1,20.0,142.0,20.0,1
7.5,56.5,7.5,0,0.0,130.0,0.0,17.0,286.0,17.0,0,1,20.5,142.5,20.5,1
11.0,53.0,11.0,0,5.0,125.0,5.0,47.0,256.0,47.0,0,1,25.5,147.5,25.5,1
12.0,53.0,12.0,0,8.0,125.0,6.0,48.0,256.0,49.0,0,1,28.5,147.5,26.5,1
1.5,65.5,1.5,0,12.0,118.0,12.0,40.0,263.0,40.0,0,1,10.0,132.0,10.0,1
5.5,65.5,5.5,0,16.0,118.0,14.0,43.0,263.0,45.0,0,1,15.0,132.0,12.0,1
4.5,65.5,5.5,0,14.0,118.0,15.0,45.0,263.0,43.0,0,1,11.0,132.0,11.0,1
6.0,70.0,6.0,0,5.0,135.0,5.0,53.0,250.0,53.0,0,1,3.0,119.0,3.0,1
11.0,70.0,8.0,0,10.0,135.0,7.0,54.0,250.0,54.0,0,1,8.0,119.0,5.0,1
9.0,70.0,11.0,0,7.0,135.0,10.0,54.0,250.0,56.0,0,1,7.0,119.0,6.0,1
10.0,54.0,10.0,0,6.0,124.0,6.0,30.5,272.5,30.5,0,1,13.5,135.5,13.5,1
12.0,54.0,12.0,0,11.0,124.0,8.0,31.5,272.5,32.5,0,1,18.5,135.5,18.5,1
12.5,51.5,12.5,0,4.0,134.0,4.0,41.5,261.5,41.5,0,1,15.0,137.0,15.0,1
4.5,59.5,4.5,0,1.0,131.0,1.0,19.5,322.5,19.5,0,1,22.0,144.0,22.0,1
9.5,59.5,6.5,0,3.0,131.0,5.0,21.5,322.5,21.5,0,1,23.0,144.0,23.0,1
3.5,62.5,3.5,1,11.0,149.0,11.0,21.5,249.5,21.5,0,0,22.0,160.0,22.0,1
2.5,61.5,2.5,1,16.0,154.0,16.0,22.0,249.0,22.0,0,0,13.5,168.5,13.5,1
6.5,47.5,6.5,0,2.0,110.0,2.0,0.5,267.5,0.5,0,0,2.5,169.5,2.5,1
8.5,47.5,7.5,0,4.0,110.0,6.0,2.5,267.5,4.5,0,0,7.5,169.5,4.5,1
10.5,47.5,10.5,0,7.0,110.0,4.0,1.5,267.5,4.5,0,0,4.5,169.5,6.5,1
5.5,46.5,5.5,0,12.0,124.0,12.0,36.0,232.0,36.0,0,0,1.5,170.5,1.5,1
9.5,46.5,7.5,0,15.0,124.0,13.0,37.0,232.0,41.0,0,0,6.5,170.5,3.5,1
7.5,46.5,7.5,0,16.0,124.0,17.0,37.0,232.0,39.0,0,0,3.5,170.5,4.5,1
16.5,57.5,16.5,0,4.0,116.0,4.0,0.5,268.5,0.5,0,0,25.5,146.5,25.5,1
17.5,57.5,21.5,0,9.0,116.0,7.0,1.5,268.5,4.5,0,0,26.5,146.5,26.5,1
21.5,57.5,21.5,0,6.0,116.0,8.0,1.5,268.5,5.5,0,0,26.5,146.5,28.5,1
5.0,46.0,5.0,0,4.0,116.0,4.0,13.5,281.5,13.5,0,0,7.5,164.5,7.5,1
7.0,46.0,9.0,0,9.0,116.0,6.0,18.5,281.5,17.5,0,0,10.5,164.5,8.5,1
6.0,46.0,6.0,0,5.0,116.0,8.0,14.5,281.5,17.5,0,0,12.5,164.5,12.5,1
1.0,53.0,1.0,0,14.0,122.0,14.0,35.5,231.5,35.5,0,0,1.0,168.0,1.0,1
3.0,53.0,5.0,0,16.0,122.0,15.0,40.5,231.5,40.5,0,0,3.0,168.0,4.0,1
6.0,53.0,3.0,0,18.0,122.0,18.0,36.5,231.5,38.5,0,0,5.0,168.0,2.0,1
10.0,64.0,10.0,0,6.0,114.0,6.0,1.0,268.0,1.0,0,0,23.0,144.0,23.0,1
13.0,64.0,13.0,0,8.0,114.0,8.0,6.0,268.0,3.0,0,0,27.0,144.0,25.0,1
13.0,64.0,12.0,0,11.0,114.0,7.0,4.0,268.0,2.0,0,0,27.0,144.0,25.0,1
1.5,52.5,1.5,0,6.0,114.0,6.0,14.0,281.0,14.0,0,0,5.0,162.0,5.0,1
5.5,52.5,6.5,0,9.0,114.0,9.0,15.0,281.0,16.0,0,0,6.0,162.0,10.0,1
5.5,52.5,4.5,0,8.0,114.0,11.0,19.0,281.0,16.0,0,0,7.0,162.0,6.0,1
16.5,50.5,16.5,0,17.0,135.0,17.0,33.5,243.5,33.5,0,1,10.0,182.0,10.0,1
18.5,50.5,18.5,0,22.0,135.0,20.0,38.5,243.5,37.5,0,1,11.0,182.0,15.0,1
21.5,50.5,18.5,0,18.0,135.0,21.0,37.5,243.5,36.5,0,1,12.0,182.0,14.0,1
10.0,44.0,10.0,0,21.0,139.0,21.0,4.5,205.5,4.5,0,1,14.5,177.5,14.5,1
11.0,44.0,15.0,0,25.0,139.0,22.0,7.5,205.5,7.5,0,1,15.5,177.5,16.5,1
13.0,44.0,11.0,0,24.0,139.0,23.0,7.5,205.5,9.5,0,1,19.5,177.5,15.5,1
7.5,41.5,7.5,0,8.0,126.0,8.0,30.5,240.5,30.5,0,1,15.0,177.0,15.0,1
10.5,41.5,8.5,0,13.0,126.0,11.0,34.5,240.5,32.5,0,1,20.0,177.0,18.0,1
11.5,41.5,12.5,0,12.0,126.0,11.0,35.5,240.5,34.5,0,1,20.0,177.0,16.0,1
3.5,37.5,3.5,0,4.0,122.0,4.0,48.0,258.0,48.0,0,1,14.5,177.5,14.5,1
7.5,37.5,8.5,0,6.0,122.0,5.0,52.0,258.0,52.0,0,1,16.5,177.5,18.5,1
4.5,37.5,8.5,0,5.0,122.0,7.0,49.0,258.0,49.0,0,1,18.5,177.5,19.5,1
7.5,41.5,7.5,0,6.0,124.0,6.0,29.5,239.5,29.5,0,1,14.5,177.5,14.5,1
8.5,41.5,11.5,0,7.0,124.0,7.0,32.5,239.5,33.5,0,1,18.5,177.5,18.5,1
9.5,41.5,11.5,0,11.0,124.0,10.0,30.5,239.5,33.5,0,1,16.5,177.5,18.5,1
4.0,38.0,4.0,0,1.0,119.0,1.0,0.5,209.5,0.5,0,1,9.5,182.5,9.5,1
7.0,38.0,8.0,0,3.0,119.0,6.0,3.5,209.5,4.5,0,1,14.5,182.5,10.5,1
8.0,38.0,5.0,0,6.0,119.0,5.0,2.5,209.5,5.5,0,1,14.5,182.5,10.5,1
16.5,50.5,16.5,0,6.0,112.0,6.0,6.5,216.5,6.5,0,1,25.0,167.0,25.0,1
21.5,50.5,18.5,0,7.0,112.0,8.0,11.5,216.5,8.5,0,1,29.0,167.0,28.0,1
18.5,50.5,21.5,0,9.0,112.0,9.0,8.5,216.5,9.5,0,1,30.0,167.0,29.0,1
5.0,39.0,5.0,0,0.0,118.0,0.0,16.0,226.0,16.0,0,1,21.5,170.5,21.5,1
7.0,39.0,8.0,0,2.0,118.0,2.0,21.0,226.0,20.0,0,1,26.5,170.5,24.5,1
8.0,39.0,9.0,0,4.0,118.0,4.0,17.0,226.0,18.0,0,1,23.5,170.5,23.5,1
13.0,47.0,13.0,0,16.0,134.0,16.0,15.0,225.0,15.0,0,1,10.5,181.5,10.5,1
15.0,47.0,18.0,0,20.0,134.0,20.0,19.0,225.0,18.0,0,1,15.5,181.5,14.5,1
15.0,47.0,15.0,0,19.0,134.0,18.0,19.0,225.0,18.0,0,1,13.5,181.5,15.5,1
2.5,36.5,2.5,0,10.0,128.0,10.0,5.0,215.0,5.0,0,1,20.0,172.0,20.0,1
7.5,36.5,7.5,0,13.0,128.0,12.0,10.0,215.0,9.0,0,1,21.0,172.0,24.0,1
4.5,36.5,3.5,0,12.0,128.0,13.0,7.0,215.0,7.0,0,1,25.0,172.0,25.0,1
10.5,44.5,10.5,0,7.0,125.0,7.0,66.0,276.0,66.0,0,1,13.0,179.0,13.0,1
15.5,44.5,13.5,0,11.0,125.0,11.0,70.0,276.0,68.0,0,1,17.0,179.0,15.0,1
12.5,44.5,11.5,0,10.0,125.0,10.0,71.0,276.0,68.0,0,1,16.0,179.0,17.0,1
2.5,44.5,2.5,1,4.0,116.0,4.0,45.5,249.5,45.5,0,1,9.5,152.5,9.5,1
3.0,44.0,3.0,1,1.0,111.0,1.0,15.5,219.5,15.5,0,1,5.0,148.0,5.0,1
6.0,44.0,4.0,1,4.0,111.0,4.0,16.5,219.5,19.5,0,1,7.0,148.0,8.0,1
5.0,44.0,5.0,1,4.0,111.0,2.0,18.5,219.5,18.5,0,1,8.0,148.0,9.0,1
1.5,45.5,1.5,1,4.0,116.0,4.0,11.0,215.0,11.0,0,1,13.0,156.0,13.0,1
6.5,45.5,2.5,1,7.0,116.0,6.0,12.0,215.0,13.0,0,1,15.0,156.0,16.0,1
2.5,44.5,2.5,1,9.0,121.0,9.0,12.0,192.0,12.0,0,1,3.5,146.5,3.5,1
6.5,44.5,3.5,1,12.0,121.0,12.0,15.0,192.0,15.0,0,1,6.5,146.5,6.5,1
5.5,44.5,4.5,1,13.0,121.0,11.0,15.0,192.0,13.0,0,1,7.5,146.5,5.5,1
6.0,41.0,6.0,1,5.0,117.0,5.0,6.0,198.0,6.0,0,1,15.5,158.5,15.5,1
11.0,41.0,9.0,1,7.0,117.0,8.0,7.0,198.0,10.0,0,1,17.5,158.5,16.5,1
8.0,41.0,9.0,1,7.0,117.0,7.0,7.0,198.0,10.0,0,1,17.5,158.5,18.5,1
4.5,42.5,4.5,1,13.0,125.0,13.0,14.5,189.5,14.5,0,1,15.0,158.0,15.0,1
7.5,42.5,8.5,1,18.0,125.0,14.0,18.5,189.5,16.5,0,1,16.0,158.0,16.0,1
9.5,42.5,9.5,1,17.0,125.0,18.0,17.5,189.5,17.5,0,1,18.0,158.0,18.0,1
4.5,42.5,4.5,1,13.0,125.0,13.0,14.5,189.5,14.5,0,1,15.0,158.0,15.0,1
9.5,42.5,8.5,1,16.0,125.0,18.0,19.5,189.5,18.5,0,1,16.0,158.0,17.0,1
5.5,42.5,5.5,1,17.0,125.0,16.0,17.5,189.5,16.5,0,1,16.0,158.0,16.0,1
6.5,60.5,6.5,0,4.0,156.0,4.0,38.0,239.0,38.0,0,1,4.5,167.5,4.5,1
7.5,60.5,8.5,0,7.0,156.0,5.0,40.0,239.0,40.0,0,1,6.5,167.5,9.5,1
8.5,60.5,9.5,0,5.0,156.0,8.0,43.0,239.0,42.0,0,1,6.5,167.5,6.5,1
9.0,58.0,9.0,0,9.0,143.0,9.0,3.0,274.0,3.0,0,1,5.0,167.0,5.0,1
10.0,58.0,12.0,0,13.0,143.0,14.0,4.0,274.0,5.0,0,1,10.0,167.0,9.0,1
12.0,58.0,10.0,0,13.0,143.0,10.0,6.0,274.0,5.0,0,1,10.0,167.0,8.0,1
13.0,54.0,13.0,0,13.0,139.0,13.0,14.5,291.5,14.5,0,1,4.5,167.5,4.5,1
16.0,54.0,16.0,0,14.0,139.0,18.0,17.5,291.5,15.5,0,1,6.5,167.5,6.5,1
18.0,54.0,17.0,0,14.0,139.0,17.0,15.5,291.5,19.5,0,1,6.5,167.5,8.5,1
9.0,58.0,9.0,0,11.0,141.0,11.0,4.0,273.0,4.0,0,1,4.5,167.5,4.5,1
14.0,58.0,11.0,0,14.0,141.0,14.0,5.0,273.0,9.0,0,1,8.5,167.5,8.5,1
12.0,58.0,12.0,0,13.0,141.0,14.0,8.0,273.0,7.0,0,1,9.5,167.5,5.5,1
12.5,54.5,12.5,0,16.0,136.0,16.0,34.0,243.0,34.0,0,1,0.5,172.5,0.5,1
14.5,54.5,15.5,0,18.0,136.0,17.0,38.0,243.0,37.0,0,1,1.5,172.5,3.5,1
13.5,54.5,17.5,0,19.0,136.0,21.0,35.0,243.0,38.0,0,1,5.5,172.5,1.5,1
1.0,67.0,2.0,0,25.0,129.0,25.0,30.0,250.0,29.0,0,1,20.0,157.0,16.0,1
3.0,67.0,2.0,0,24.0,129.0,27.0,32.0,250.0,31.0,0,1,20.0,157.0,20.0,1
4.5,71.5,4.5,0,6.0,146.0,6.0,40.0,237.0,40.0,0,1,28.0,144.0,28.0,1
6.5,71.5,7.5,0,10.0,146.0,11.0,41.0,237.0,41.0,0,1,31.0,144.0,33.0,1
5.5,71.5,5.5,0,7.0,146.0,10.0,41.0,237.0,43.0,0,1,33.0,144.0,32.0,1
3.5,63.5,3.5,0,1.0,151.0,1.0,18.5,258.5,18.5,0,1,0.5,171.5,0.5,1
8.5,63.5,5.5,0,4.0,151.0,6.0,23.5,258.5,19.5,0,1,3.5,171.5,1.5,1
4.5,63.5,4.5,0,3.0,151.0,6.0,20.5,258.5,22.5,0,1,3.5,171.5,2.5,1
6.0,61.0,6.0,0,10.0,142.0,10.0,32.5,309.5,32.5,0,1,3.0,169.0,3.0,1
11.0,61.0,7.0,0,15.0,142.0,14.0,37.5,309.5,37.5,0,1,5.0,169.0,7.0,1
8.0,61.0,10.0,0,11.0,142.0,13.0,37.5,309.5,33.5,0,1,6.0,169.0,6.0,1
11.0,63.0,11.0,0,8.0,128.0,8.0,36.5,232.5,36.5,0,0,24.0,145.0,24.0,1
13.0,63.0,14.0,0,11.0,128.0,11.0,41.5,232.5,38.5,0,0,28.0,145.0,26.0,1
0.5,51.5,0.5,0,8.0,128.0,8.0,49.5,245.5,49.5,0,0,6.0,163.0,6.0,1
2.5,51.5,2.5,0,9.0,128.0,9.0,50.5,245.5,50.5,0,0,7.0,163.0,10.0,1
11.5,62.5,11.5,0,0.0,120.0,0.0,13.0,282.0,13.0,0,0,18.0,139.0,18.0,1
14.5,62.5,15.5,0,4.0,120.0,5.0,16.0,282.0,14.0,0,0,23.0,139.0,19.0,1
16.5,62.5,14.5,0,5.0,120.0,5.0,18.0,282.0,14.0,0,0,20.0,139.0,23.0,1
4.0,70.0,4.0,0,13.0,133.0,13.0,4.5,273.5,4.5,0,0,15.5,136.5,15.5,1
5.0,70.0,7.0,0,16.0,133.0,15.0,6.5,273.5,6.5,0,0,17.5,136.5,18.5,1
5.0,70.0,8.0,0,18.0,133.0,15.0,5.5,273.5,6.5,0,0,19.5,136.5,17.5,1
2.5,51.5,2.5,0,13.0,147.0,13.0,35.0,236.0,35.0,0,1,0.5,162.5,0.5,1
3.5,51.5,6.5,0,17.0,147.0,14.0,36.0,236.0,36.0,0,1,4.5,162.5,3.5,1
6.5,51.5,4.5,0,16.0,147.0,18.0,39.0,236.0,36.0,0,1,1.5,162.5,1.5,1
6.5,47.5,6.5,0,17.0,143.0,17.0,52.5,253.5,52.5,0,1,0.0,163.0,0.0,1
9.5,47.5,11.5,0,21.0,143.0,18.0,56.5,253.5,53.5,0,1,3.0,163.0,3.0,1
7.5,47.5,8.5,0,22.0,143.0,18.0,53.5,253.5,54.5,0,1,4.0,163.0,3.0,1
2.5,51.5,2.5,0,15.0,145.0,15.0,34.0,235.0,34.0,0,1,0.0,163.0,0.0,1
6.5,51.5,5.5,0,19.0,145.0,18.0,36.0,235.0,38.0,0,1,5.0,163.0,5.0,1
5.5,51.5,4.5,0,20.0,145.0,16.0,39.0,235.0,35.0,0,1,3.0,163.0,1.0,1
6.0,48.0,6.0,0,20.0,140.0,20.0,4.0,205.0,4.0,0,1,5.0,168.0,5.0,1
7.0,48.0,10.0,0,25.0,140.0,22.0,7.0,205.0,8.0,0,1,8.0,168.0,10.0,1
10.0,48.0,9.0,0,24.0,140.0,24.0,7.0,205.0,6.0,0,1,8.0,168.0,10.0,1
6.5,60.5,6.5,0,27.0,133.0,27.0,11.0,212.0,11.0,0,1,10.5,152.5,10.5,1
9.5,60.5,8.5,0,30.0,133.0,30.0,14.0,212.0,15.0,0,1,13.5,152.5,12.5,1
11.5,60.5,7.5,0,29.0,133.0,28.0,16.0,212.0,16.0,0,1,12.5,152.5,11.5,1
11.0,65.0,11.0,0,10.0,150.0,10.0,2.0,199.0,2.0,0,1,23.5,139.5,23.5,1
14.0,65.0,13.0,0,15.0,150.0,13.0,5.0,199.0,3.0,0,1,24.5,139.5,24.5,1
15.0,65.0,15.0,0,15.0,150.0,15.0,6.0,199.0,5.0,0,1,24.5,139.5,25.5,1
5.0,49.0,5.0,0,21.0,139.0,21.0,20.5,221.5,20.5,0,1,7.0,156.0,7.0,1
9.0,49.0,8.0,0,25.0,139.0,23.0,25.5,221.5,25.5,0,1,12.0,156.0,8.0,1
10.0,49.0,10.0,0,26.0,139.0,24.0,22.5,221.5,21.5,0,1,8.0,156.0,12.0,1
3.0,57.0,3.0,0,5.0,155.0,5.0,19.5,220.5,19.5,0,1,4.0,167.0,4.0,1
8.0,57.0,5.0,0,8.0,155.0,9.0,23.5,220.5,23.5,0,1,9.0,167.0,8.0,1
8.0,57.0,5.0,0,9.0,155.0,9.0,21.5,220.5,22.5,0,1,9.0,167.0,7.0,1
7.5,46.5,7.5,0,11.0,149.0,11.0,9.5,210.5,9.5,0,1,5.5,157.5,5.5,1
9.5,46.5,10.5,0,15.0,149.0,13.0,10.5,210.5,14.5,0,1,8.5,157.5,6.5,1
8.5,46.5,11.5,0,15.0,149.0,12.0,14.5,210.5,10.5,0,1,9.5,157.5,8.5,1
0.5,54.5,0.5,0,14.0,146.0,14.0,70.5,271.5,70.5,0,1,1.5,164.5,1.5,1
1.5,54.5,2.5,0,19.0,146.0,18.0,73.5,271.5,74.5,0,1,4.5,164.5,5.5,1
4.5,54.5,2.5,0,18.0,146.0,16.0,71.5,271.5,72.5,0,1,2.5,164.5,2.5,1
4.0,45.0,4.0,0,4.0,130.0,4.0,17.5,288.5,17.5,0,1,0.5,162.5,0.5,1
8.0,45.0,6.0,0,8.0,130.0,5.0,21.5,288.5,20.5,0,1,4.5,162.5,1.5,1
7.0,45.0,9.0,0,6.0,130.0,6.0,22.5,288.5,18.5,0,1,2.5,162.5,1.5,1
4.0,49.0,5.0,0,6.0,132.0,4.0,6.0,270.0,6.0,0,1,2.5,162.5,1.5,1
3.0,49.0,2.0,0,5.0,132.0,4.0,3.0,270.0,4.0,0,1,2.5,162.5,1.5,1
3.5,45.5,3.5,0,7.0,127.0,7.0,31.0,240.0,31.0,0,1,5.5,167.5,5.5,1
6.5,45.5,6.5,0,11.0,127.0,12.0,34.0,240.0,33.0,0,1,10.5,167.5,10.5,1
8.5,45.5,8.5,0,9.0,127.0,11.0,34.0,240.0,36.0,0,1,6.5,167.5,6.5,1
9.0,58.0,9.0,0,14.0,120.0,14.0,24.0,247.0,24.0,0,1,10.0,152.0,10.0,1
12.0,58.0,10.0,0,18.0,120.0,19.0,27.0,247.0,28.0,0,1,13.0,152.0,12.0,1
10.0,58.0,14.0,0,15.0,120.0,18.0,25.0,247.0,28.0,0,1,14.0,152.0,13.0,1
2.5,46.5,2.5,0,8.0,126.0,8.0,14.5,256.5,14.5,0,1,6.5,155.5,6.5,1
5.5,46.5,7.5,0,13.0,126.0,9.0,15.5,256.5,18.5,0,1,8.5,155.5,9.5,1
3.5,46.5,7.5,0,13.0,126.0,10.0,16.5,256.5,18.5,0,1,8.5,155.5,8.5,1
5.5,54.5,5.5,0,8.0,142.0,8.0,15.5,255.5,15.5,0,1,4.5,166.5,4.5,1
9.5,54.5,7.5,0,12.0,142.0,10.0,18.5,255.5,18.5,0,1,5.5,166.5,6.5,1
8.5,54.5,10.5,0,10.0,142.0,9.0,20.5,255.5,18.5,0,1,8.5,166.5,5.5,1
5.0,44.0,5.0,0,2.0,136.0,2.0,25.5,245.5,25.5,0,1,5.0,157.0,5.0,1
6.0,44.0,10.0,0,7.0,136.0,5.0,29.5,245.5,26.5,0,1,10.0,157.0,6.0,1
6.0,44.0,9.0,0,7.0,136.0,6.0,30.5,245.5,30.5,0,1,6.0,157.0,8.0,1
3.0,52.0,3.0,0,1.0,133.0,1.0,35.5,306.5,35.5,0,1,2.0,164.0,2.0,1
4.0,52.0,4.0,0,4.0,133.0,4.0,38.5,306.5,38.5,0,1,3.0,164.0,6.0,1
6.0,52.0,5.0,0,3.0,133.0,6.0,38.5,306.5,39.5,0,1,6.0,164.0,4.0,1
0.5,41.5,0.5,1,5.0,115.0,5.0,30.0,265.0,30.0,0,1,4.5,157.5,4.5,1
4.5,41.5,3.5,1,9.0,115.0,10.0,34.0,265.0,35.0,0,1,5.5,157.5,6.5,1
11.0,53.0,11.0,1,4.0,124.0,4.0,16.0,279.0,16.0,0,1,28.5,133.5,28.5,1
1.0,43.0,1.0,1,0.0,120.0,0.0,34.5,260.5,34.5,0,1,3.5,165.5,3.5,1
5.0,43.0,5.0,1,1.0,120.0,2.0,36.5,260.5,39.5,0,1,5.5,165.5,8.5,1
4.0,43.0,5.0,1,3.0,120.0,1.0,36.5,260.5,35.5,0,1,8.5,165.5,4.5,1
1.0,42.0,2.0,1,9.0,125.0,7.0,58.5,237.5,61.5,0,1,11.0,156.0,8.0,1
1.0,42.0,2.0,1,9.0,125.0,8.0,60.5,237.5,61.5,0,1,11.0,156.0,9.0,1
2.5,44.5,2.5,1,5.0,125.0,5.0,21.0,274.0,21.0,0,1,8.5,170.5,8.5,1
7.5,44.5,4.5,1,9.0,125.0,7.0,24.0,274.0,25.0,0,1,9.5,170.5,11.5,1
4.5,44.5,6.5,1,7.0,125.0,6.0,26.0,274.0,24.0,0,1,12.5,170.5,12.5,1
3.5,38.5,3.5,1,1.0,121.0,1.0,51.5,243.5,51.5,0,1,6.0,168.0,6.0,1
8.5,38.5,4.5,1,6.0,121.0,6.0,55.5,243.5,54.5,0,1,7.0,168.0,8.0,1
8.5,38.5,7.5,1,6.0,121.0,4.0,54.5,243.5,54.5,0,1,9.0,168.0,8.0,1
0.5,41.5,0.5,1,0.0,120.0,0.0,69.0,226.0,69.0,0,1,10.0,172.0,10.0,1
3.5,41.5,1.5,1,4.0,120.0,1.0,70.0,226.0,73.0,0,1,11.0,172.0,14.0,1
2.0,40.0,2.0,1,9.0,129.0,9.0,60.0,235.0,60.0,0,1,5.5,167.5,5.5,1
4.0,40.0,4.0,1,13.0,129.0,13.0,61.0,235.0,63.0,0,1,10.5,167.5,10.5,1
7.0,40.0,5.0,1,11.0,129.0,14.0,64.0,235.0,65.0,0,1,9.5,167.5,6.5,1
2.0,40.0,2.0,1,9.0,129.0,9.0,60.0,235.0,60.0,0,1,5.5,167.5,5.5,1
5.0,40.0,3.0,1,12.0,129.0,10.0,65.0,235.0,65.0,0,1,9.5,167.5,7.5,1
5.0,40.0,6.0,1,12.0,129.0,10.0,65.0,235.0,61.0,0,1,10.5,167.5,8.5,1
1.5,42.5,1.5,1,5.0,115.0,5.0,4.5,230.5,4.5,0,1,8.0,161.0,8.0,1
3.5,42.5,3.5,1,10.0,115.0,10.0,8.5,230.5,9.5,0,1,13.0,161.0,11.0,1
0.5,41.5,0.5,1,10.0,120.0,10.0,27.5,207.5,27.5,0,1,1.5,151.5,1.5,1
2.5,41.5,2.5,1,13.0,120.0,11.0,30.5,207.5,32.5,0,1,6.5,151.5,3.5,1
5.5,41.5,1.5,1,15.0,120.0,15.0,31.5,207.5,29.5,0,1,5.5,151.5,6.5,1
3.0,44.0,3.0,1,10.0,120.0,10.0,9.0,244.0,9.0,0,1,13.0,166.0,13.0,1
7.0,44.0,8.0,1,12.0,120.0,11.0,14.0,244.0,10.0,0,1,18.0,166.0,15.0,1
3.0,38.0,3.0,1,6.0,116.0,6.0,21.5,213.5,21.5,0,1,10.5,163.5,10.5,1
8.0,38.0,8.0,1,10.0,116.0,7.0,24.5,213.5,25.5,0,1,12.5,163.5,12.5,1
4.0,38.0,5.0,1,10.0,116.0,9.0,22.5,213.5,22.5,0,1,14.5,163.5,14.5,1
1.5,39.5,1.5,1,14.0,124.0,14.0,30.0,205.0,30.0,0,1,10.0,163.0,10.0,1
2.5,39.5,5.5,1,15.0,124.0,18.0,34.0,205.0,31.0,0,1,14.0,163.0,14.0,1
4.5,39.5,3.5,1,18.0,124.0,19.0,32.0,205.0,33.0,0,1,11.0,163.0,13.0,1
1.5,39.5,1.5,1,14.0,124.0,14.0,30.0,205.0,30.0,0,1,10.0,163.0,10.0,1
6.5,39.5,2.5,1,16.0,124.0,16.0,31.0,205.0,32.0,0,1,15.0,163.0,13.0,1
4.5,39.5,5.5,1,19.0,124.0,15.0,33.0,205.0,33.0,0,1,14.0,163.0,15.0,1
4.0,45.0,4.0,0,2.0,128.0,2.0,18.5,287.5,18.5,0,1,0.0,163.0,0.0,1
9.0,45.0,7.0,0,4.0,128.0,7.0,19.5,287.5,23.5,0,1,3.0,163.0,5.0,1
7.0,45.0,7.0,0,7.0,128.0,5.0,19.5,287.5,20.5,0,1,2.0,163.0,1.0,1
0.5,41.5,0.5,0,3.0,123.0,3.0,48.5,257.5,48.5,0,1,5.0,168.0,5.0,1
3.5,41.5,5.5,0,6.0,123.0,5.0,51.5,257.5,53.5,0,1,7.0,168.0,6.0,1
2.5,41.5,5.5,0,8.0,123.0,4.0,51.5,257.5,51.5,0,1,10.0,168.0,10.0,1
13.0,54.0,13.0,0,10.0,116.0,10.0,41.5,264.5,41.5,0,1,10.5,152.5,10.5,1
1.5,42.5,1.5,0,4.0,122.0,4.0,32.0,274.0,32.0,0,1,7.0,156.0,7.0,1
6.5,42.5,6.5,0,5.0,122.0,8.0,37.0,274.0,33.0,0,1,12.0,156.0,12.0,1
3.5,42.5,3.5,0,9.0,122.0,6.0,33.0,274.0,36.0,0,1,8.0,156.0,8.0,1
9.5,50.5,9.5,0,12.0,138.0,12.0,33.0,273.0,33.0,0,1,4.0,167.0,4.0,1
12.5,50.5,10.5,0,15.0,138.0,15.0,34.0,273.0,38.0,0,1,6.0,167.0,7.0,1
13.5,50.5,13.5,0,17.0,138.0,13.0,37.0,273.0,37.0,0,1,9.0,167.0,9.0,1
1.0,40.0,1.0,0,6.0,132.0,6.0,43.0,263.0,43.0,0,1,5.5,157.5,5.5,1
6.0,40.0,3.0,0,11.0,132.0,9.0,45.0,263.0,46.0,0,1,9.5,157.5,10.5,1
2.0,40.0,5.0,0,9.0,132.0,10.0,46.0,263.0,45.0,0,1,8.5,157.5,8.5,1
7.0,48.0,7.0,0,3.0,129.0,3.0,18.0,324.0,18.0,0,1,1.5,164.5,1.5,1
10.0,48.0,12.0,0,4.0,129.0,5.0,22.0,324.0,19.0,0,1,5.5,164.5,3.5,1
12.0,48.0,10.0,0,6.0,129.0,6.0,23.0,324.0,21.0,0,1,2.5,164.5,5.5,1
3.5,45.5,3.5,0,5.0,125.0,5.0,30.0,239.0,30.0,0,1,5.0,168.0,5.0,1
8.5,45.5,6.5,0,7.0,125.0,8.0,32.0,239.0,32.0,0,1,9.0,168.0,9.0,1
8.5,45.5,6.5,0,6.0,125.0,6.0,33.0,239.0,31.0,0,1,9.0,168.0,6.0,1
9.0,58.0,9.0,0,12.0,118.0,12.0,23.0,246.0,23.0,0,1,10.5,152.5,10.5,1
12.0,58.0,10.0,0,13.0,118.0,14.0,27.0,246.0,28.0,0,1,15.5,152.5,15.5,1
13.0,58.0,12.0,0,16.0,118.0,14.0,26.0,246.0,25.0,0,1,14.5,152.5,14.5,1
2.5,46.5,2.5,0,6.0,124.0,6.0,13.5,255.5,13.5,0,1,7.0,156.0,7.0,1
5.5,46.5,3.5,0,10.0,124.0,8.0,16.5,255.5,16.5,0,1,11.0,156.0,9.0,1
5.5,46.5,3.5,0,11.0,124.0,11.0,15.5,255.5,14.5,0,1,10.0,156.0,10.0,1
5.5,54.5,5.5,0,10.0,140.0,10.0,14.5,254.5,14.5,0,1,4.0,167.0,4.0,1
8.5,54.5,7.5,0,11.0,140.0,15.0,18.5,254.5,15.5,0,1,7.0,167.0,8.0,1
